Params: n_estimators=250, learning_rate=0.01, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 57.55%
Params: n_estimators=250, learning_rate=0.05, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.79%
Params: n_estimators=250, learning_rate=0.1, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.90%
Params: n_estimators=250, learning_rate=0.2, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.83%
Params: n_estimators=300, learning_rate=0.01, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 57.78%
Params: n_estimators=300, learning_rate=0.05, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.85%
Params: n_estimators=300, learning_rate=0.1, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.94%
Params: n_estimators=300, learning_rate=0.2, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.83%
Params: n_estimators=350, learning_rate=0.01, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 57.97%
Params: n_estimators=350, learning_rate=0.05, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.89%
Params: n_estimators=350, learning_rate=0.1, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.95%
Params: n_estimators=350, learning_rate=0.2, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.86%
Params: n_estimators=400, learning_rate=0.01, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.10%
Params: n_estimators=400, learning_rate=0.05, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.92%
Params: n_estimators=400, learning_rate=0.1, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.96%
Params: n_estimators=400, learning_rate=0.2, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.83%

Params: n_estimators=250, learning_rate=0.01, max_depth=5, boost=rf, class_weights=false -> Accuracy: 56.14%
Params: n_estimators=250, learning_rate=0.05, max_depth=5, boost=rf, class_weights=false -> Accuracy: 56.14%
Params: n_estimators=250, learning_rate=0.1, max_depth=5, boost=rf, class_weights=false -> Accuracy: 56.14%
Params: n_estimators=250, learning_rate=0.2, max_depth=5, boost=rf, class_weights=false -> Accuracy: 56.14%
Params: n_estimators=300, learning_rate=0.01, max_depth=5, boost=rf, class_weights=false -> Accuracy: 56.14%
Params: n_estimators=300, learning_rate=0.05, max_depth=5, boost=rf, class_weights=false -> Accuracy: 56.14%
Params: n_estimators=300, learning_rate=0.1, max_depth=5, boost=rf, class_weights=false -> Accuracy: 56.14%
Params: n_estimators=300, learning_rate=0.2, max_depth=5, boost=rf, class_weights=false -> Accuracy: 56.14%
Params: n_estimators=350, learning_rate=0.01, max_depth=5, boost=rf, class_weights=false -> Accuracy: 56.16%
Params: n_estimators=350, learning_rate=0.05, max_depth=5, boost=rf, class_weights=false -> Accuracy: 56.16%
Params: n_estimators=350, learning_rate=0.1, max_depth=5, boost=rf, class_weights=false -> Accuracy: 56.16%
Params: n_estimators=350, learning_rate=0.2, max_depth=5, boost=rf, class_weights=false -> Accuracy: 56.16%
Params: n_estimators=400, learning_rate=0.01, max_depth=5, boost=rf, class_weights=false -> Accuracy: 56.16%
Params: n_estimators=400, learning_rate=0.05, max_depth=5, boost=rf, class_weights=false -> Accuracy: 56.16%
Params: n_estimators=400, learning_rate=0.1, max_depth=5, boost=rf, class_weights=false -> Accuracy: 56.16%
Params: n_estimators=400, learning_rate=0.2, max_depth=5, boost=rf, class_weights=false -> Accuracy: 56.17%

New Features


Params: n_estimators=350, learning_rate=0.1, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 59.01%
Params: n_estimators=350, learning_rate=0.15, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.94%
Params: n_estimators=350, learning_rate=0.2, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.89%
Params: n_estimators=400, learning_rate=0.1, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.96%
Params: n_estimators=400, learning_rate=0.15, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.83%
Params: n_estimators=200, learning_rate=0.05, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.76%
Params: n_estimators=200, learning_rate=0.1, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.96%
Params: n_estimators=200, learning_rate=0.15, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 59.01%
Params: n_estimators=200, learning_rate=0.2, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.92%
Params: n_estimators=250, learning_rate=0.05, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.87%
Params: n_estimators=250, learning_rate=0.1, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.99%
Params: n_estimators=250, learning_rate=0.15, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 59.04%
Params: n_estimators=250, learning_rate=0.2, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.89%
Params: n_estimators=300, learning_rate=0.05, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.95%
Params: n_estimators=300, learning_rate=0.1, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 59.04%
Params: n_estimators=300, learning_rate=0.15, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 59.04%
Params: n_estimators=300, learning_rate=0.2, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.81%
Params: n_estimators=350, learning_rate=0.05, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 59.00%
Params: n_estimators=350, learning_rate=0.1, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 59.03%
Params: n_estimators=350, learning_rate=0.15, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 59.01%
Params: n_estimators=350, learning_rate=0.2, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.84%
Params: n_estimators=400, learning_rate=0.05, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 59.03%
Params: n_estimators=400, learning_rate=0.1, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 59.07%
Params: n_estimators=400, learning_rate=0.15, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.97%
Params: n_estimators=400, learning_rate=0.2, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.77%
Params: n_estimators=450, learning_rate=0.05, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 59.03%
Params: n_estimators=450, learning_rate=0.1, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 59.10%
Params: n_estimators=450, learning_rate=0.15, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.92%
Params: n_estimators=450, learning_rate=0.2, max_depth=5, boost=gbdt, class_weights=false -> Accuracy: 58.74%
